symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-04-28 13:41:00+00:00,290.95,292.35,290.5,291.7299,1049943.0,12754.0,291.581516
TSLA,2025-04-28 13:42:00+00:00,291.705,292.17,290.93,291.63,535580.0,7596.0,291.527755
TSLA,2025-04-28 13:43:00+00:00,291.58,292.13,291.37,291.75,496993.0,6946.0,291.809817
TSLA,2025-04-28 13:44:00+00:00,291.715,292.09,290.7,291.53,659903.0,8852.0,291.373593
TSLA,2025-04-28 13:45:00+00:00,291.56,293.6491,291.54,292.86,1292680.0,16683.0,292.70387
TSLA,2025-04-28 13:46:00+00:00,292.86,294.06,292.62,293.97,992874.0,13359.0,293.441259
TSLA,2025-04-28 13:47:00+00:00,293.94,294.86,293.75,294.58,1025706.0,14075.0,294.410351
TSLA,2025-04-28 13:48:00+00:00,294.5358,294.74,293.75,294.27,851419.0,11852.0,294.261311
TSLA,2025-04-28 13:49:00+00:00,294.31,294.3492,292.24,293.35,941202.0,13050.0,293.297116
TSLA,2025-04-28 13:50:00+00:00,293.3293,293.35,290.91,291.9826,993723.0,13175.0,291.849752
TSLA,2025-04-28 13:51:00+00:00,292.01,292.2299,290.33,291.22,817927.0,11750.0,291.054634
TSLA,2025-04-28 13:52:00+00:00,291.296,292.0399,290.3,291.8603,652697.0,9317.0,291.076918
TSLA,2025-04-28 13:53:00+00:00,291.93,292.75,289.61,290.025,1295965.0,14451.0,290.940666
TSLA,2025-04-28 13:54:00+00:00,290.06,290.3,288.63,289.53,718406.0,10671.0,289.361912
TSLA,2025-04-28 13:55:00+00:00,289.51,289.81,288.68,289.13,504121.0,7800.0,289.183893
TSLA,2025-04-28 13:56:00+00:00,289.13,289.64,287.08,287.4001,852817.0,11570.0,288.030408
TSLA,2025-04-28 13:57:00+00:00,287.48,287.64,285.61,286.23,905959.0,13674.0,286.358726
TSLA,2025-04-28 13:58:00+00:00,286.245,287.09,285.93,286.32,608113.0,8736.0,286.546947
TSLA,2025-04-28 13:59:00+00:00,286.28,286.3187,285.0639,285.76,764096.0,12286.0,285.527592
TSLA,2025-04-28 14:00:00+00:00,285.83,286.18,283.4,285.1799,1204132.0,20579.0,284.347773
TSLA,2025-04-28 14:01:00+00:00,285.02,285.9,284.63,285.8366,720117.0,8876.0,285.167149
TSLA,2025-04-28 14:02:00+00:00,285.885,286.76,285.35,286.67,749118.0,8907.0,286.223404
TSLA,2025-04-28 14:03:00+00:00,286.69,287.95,286.6611,286.9,756430.0,9678.0,287.313507
TSLA,2025-04-28 14:04:00+00:00,286.9,287.71,286.58,287.2972,487089.0,6769.0,287.240795
TSLA,2025-04-28 14:05:00+00:00,287.27,287.9691,286.77,287.64,505802.0,7297.0,287.484081
TSLA,2025-04-28 14:06:00+00:00,287.66,288.14,286.68,287.17,488064.0,7839.0,287.344105
TSLA,2025-04-28 14:07:00+00:00,287.195,287.79,286.13,286.6,442227.0,6067.0,286.849713
TSLA,2025-04-28 14:08:00+00:00,286.67,288.11,286.6496,288.09,433449.0,6191.0,287.537453
TSLA,2025-04-28 14:09:00+00:00,288.12,288.6,287.1,287.92,678159.0,8039.0,287.985631
TSLA,2025-04-28 14:10:00+00:00,287.92,288.6,287.63,288.4898,438658.0,7884.0,288.22243
